data set,model,covariates,b (minimize),beta (minimize),b,beta,time,calculated LLF,correct LLF,calc - correct LLF,converged
DS1,DW,-,0.994194141,[],0.99418227,[],0.015625,-35.37187468,-35.37187468,7.11E-14,TRUE
DS1,DW,E,0.99567041,[0.12168896],0.995227942,[0.1552065],0.0728125,-33.19995194,-33.19995194,-1.42E-14,TRUE
DS1,DW,F,0.997734816,[0.04453926],0.997769455,[0.04496836],0.069375,-29.4703137,-29.4703137,1.39E-13,TRUE
DS1,DW,C,0.994291211,[0.01095166],0.994291211,[0.01095166],0.165625,-35.02403001,-33.04090113,1.983128877,FALSE
DS1,DW,EF,0.997282213,[-0.00320598  0.02853759],0.997282213,[-0.00320598  0.02853759],0.3409375,-30.70751637,-29.20342903,1.50408734,FALSE
DS1,DW,FC,0.997499156,[ 0.03084008 -0.01046816],0.997499156,[ 0.03084008 -0.01046816],0.3390625,-30.83280572,-29.27885983,1.553945889,FALSE
DS1,DW,EC,0.99621928,[0.08953087 0.14576795],0.986209594,[-0.21938346 -0.38960748],0.36,-81.66626874,-31.41475287,50.25151587,FALSE
DS1,DW,EFC,0.997253968,[-0.0463418   0.03894144  0.01551018],0.997253968,[-0.0463418   0.03894144  0.01551018],0.595625,-30.09554933,-28.91369384,1.181855486,FALSE
DS2,DW,-,0.98938916,[],0.989381182,[],0.011875,-37.29405579,-37.29405579,1.42E-14,TRUE
DS2,DW,E,0.989534766,[0.01145996],0.990556622,[0.18466703],0.0840625,-36.4317963,-36.4317963,-2.84E-14,TRUE
DS2,DW,F,0.99233901,[0.04261568],0.992309293,[0.04254664],0.0503125,-33.39672808,-33.39672808,1.35E-13,TRUE
DS2,DW,C,0.992160877,[0.22166638],0.992182362,[0.22536356],0.0503125,-34.6132848,-34.6132848,1.42E-14,TRUE
DS2,DW,EF,0.992375754,[-0.00955402  0.04448179],4.244271619,[-0.38243862 -0.23021607],0.285625,nan,-31.34126756,nan,FALSE
DS2,DW,FC,0.992166143,[ 0.04385645 -0.01809074],0.992166143,[ 0.04385645 -0.01809074],0.2571875,-33.4470131,-33.33843769,0.108575407,FALSE
DS2,DW,EC,0.989538104,[0.01004822 0.01050751],0.989538774,[0.01004983 0.01051172],0.2303125,-36.98088599,-33.63866854,3.342217449,FALSE
DS2,DW,EFC,0.992605353,[-0.04305691  0.04458653  0.04690619],0.994061885,[-0.84634733  0.08616175  0.30395829],0.253125,-29.86953656,-29.86953656,8.17E-14,TRUE
DS1,GM,-,0.0313125,[],0.031290022,[],0.010625,-41.4681826,-41.4681826,-1.42E-14,TRUE
DS1,GM,E,0.059680034,[0.28317475],0.059768102,[0.28368347],0.0596875,-36.1263529,-36.1263529,0,TRUE
DS1,GM,F,0.014724735,[0.05893061],0.014724735,[0.05893061],0.143125,-31.21347199,-31.2134606,1.14E-05,FALSE
DS1,GM,C,0.052256056,[0.27523513],0.052238926,[0.2753168],0.0521875,-35.54277231,-35.54277231,9.95E-14,TRUE
DS1,GM,EF,0.021551366,[0.1468791  0.05180791],0.021396318,[0.1396797 0.0514606],0.1184375,-30.02494829,-30.02494829,6.75E-14,TRUE
DS1,GM,FC,0.024118309,[0.04873451 0.07634166],0.024118309,[0.04873451 0.07634166],0.306875,-30.93198172,-30.89287538,0.039106344,FALSE
DS1,GM,EC,0.043701907,[0.34463595 0.15427375],0.037806346,[0.28647548 0.24437055],0.1553125,-30.07963349,-30.07963349,1.07E-13,TRUE
DS1,GM,EFC,0.02858871,[0.25478434 0.03074619 0.1344247 ],0.028395578,[0.25473428 0.03071096 0.13447815],0.5171875,-28.71157805,-28.40418701,0.307391039,FALSE
DS2,GM,-,0.1019375,[],0.101937922,[],0.0096875,-29.37797106,-29.37797106,6.39E-14,TRUE
DS2,GM,E,0.093748004,[0.49935857],0.09361683,[0.49856935],0.0403125,-24.93183588,-24.93183588,1.07E-14,TRUE
DS2,GM,F,0.072912645,[0.05894698],0.072939248,[0.05893731],0.039375,-23.29089438,-23.29089438,4.97E-14,TRUE
DS2,GM,C,0.076907436,[0.34770795],0.077121316,[0.35000826],0.035625,-24.32516162,-24.32516162,0,TRUE
DS2,GM,EF,0.067585585,[-0.0973426   0.06659495],0.067585585,[-0.0973426   0.06659495],0.23375,-23.40122491,-23.26950772,0.131717192,FALSE
DS2,GM,FC,0.074470446,[0.0513524  0.08369237],0.070326001,[0.04467209 0.12881489],0.075625,-23.01250872,-23.01250872,4.26E-14,TRUE
DS2,GM,EC,0.074626949,[-0.03883544  0.37700925],0.07942313,[0.19881497 0.24491958],0.0846875,-24.09369398,-24.09369398,3.91E-14,TRUE
DS2,GM,EFC,0.07070045,[0.00023645 0.04487422 0.12429838],0.07070045,[0.00023645 0.04487422 0.12429838],0.39875,-23.01309595,-23.00672947,0.00636648,FALSE
DS1,NB,-,0.137625,[],0.137654932,[],0.020625,-36.40994169,-36.40994169,3.55E-14,TRUE
DS1,NB,E,0.128541821,[0.23046976],0.13247065,[0.22086559],0.074375,-32.30744747,-32.30744747,7.11E-14,TRUE
DS1,NB,F,0.079112716,[0.04881941],0.079112716,[0.04881941],0.213125,-28.80146789,-28.80044371,0.001024187,FALSE
DS1,NB,C,0.123366172,[0.20107216],0.123836037,[0.20141395],0.068125,-31.95652207,-31.95652207,-3.55E-14,TRUE
DS1,NB,EF,0.084334963,[0.06643375 0.0439165 ],0.084334963,[0.06643375 0.0439165 ],0.3675,-28.17253002,-28.05234505,0.120184973,FALSE
DS1,NB,FC,0.079889826,[0.04835618 0.04275751],0.079889826,[0.04835618 0.04275751],0.3428125,-28.54450541,-28.37366081,0.170844601,FALSE
DS1,NB,EC,0.113062694,[0.23870096 0.08696005],0.108375806,[0.19512124 0.1705835 ],0.1375,-28.97257171,-28.97257171,3.91E-14,TRUE
DS1,NB,EFC,0.070619958,[-0.01678298  0.05590955 -0.06616363],0.070619958,[-0.01678298  0.05590955 -0.06616363],0.60875,-30.0319666,-27.28736927,2.744597324,FALSE
DS2,NB,-,0.2235625,[],0.22359297,[],0.0165625,-30.56096927,-30.56096927,9.95E-14,TRUE
DS2,NB,E,0.201321372,[0.32039983],0.201321372,[0.32039983],0.153125,-28.05988853,-28.05899337,0.000895153,FALSE
DS2,NB,F,0.174763885,[0.04930975],0.175943465,[0.04885447],0.053125,-25.73037935,-25.73037935,6.04E-14,TRUE
DS2,NB,C,0.177192493,[0.27467686],0.177751049,[0.27312263],0.0496875,-26.80690199,-26.80690199,2.49E-14,TRUE
DS2,NB,EF,0.171703609,[-0.18493173  0.06557511],0.171703609,[-0.18493173  0.06557511],0.2778125,-25.51514333,-25.51511845,2.49E-05,FALSE
DS2,NB,FC,0.174834677,[ 0.04987426 -0.01933544],0.174834677,[ 0.04987426 -0.01933544],0.2709375,-25.81633779,-25.59429639,0.222041409,FALSE
DS2,NB,EC,0.182840504,[0.10469075 0.19513148],0.169907789,[-0.60034863 -0.23483921],0.2740625,-56.4709797,-26.78400404,29.68697566,FALSE
DS2,NB,EFC,0.162576122,[-0.25059866  0.05204906  0.17209541],0.174712893,[-0.3943601   0.1240914   0.12411166],0.5090625,-46.7721403,-25.00059216,21.77154814,FALSE
